Time Period,Time Period Start,Time Period End,Week,Start,End
Q3-2018,7/1/2018,9/30/2018,4,7/23/2018,7/29/2018
Q3-2018,7/1/2018,9/30/2018,5,7/30/2018,8/5/2018
Q3-2018,7/1/2018,9/30/2018,6,8/6/2018,8/12/2018
Q3-2018,7/1/2018,9/30/2018,7,8/13/2018,8/19/2018
Q3-2018,7/1/2018,9/30/2018,8,8/20/2018,8/26/2018
Q3-2018,7/1/2018,9/30/2018,9,8/27/2018,9/2/2018
Q3-2018,7/1/2018,9/30/2018,10,9/3/2018,9/9/2018
Q3-2018,7/1/2018,9/30/2018,11,9/10/2018,9/16/2018
Q3-2018,7/1/2018,9/30/2018,12,9/17/2018,9/23/2018
Q3-2018,7/1/2018,9/30/2018,13,9/24/2018,9/30/2018
Q4-2018,10/1/2018,12/31/2018,1,10/1/2018,10/7/2018
Q4-2018,10/1/2018,12/31/2018,2,10/8/2018,10/14/2018
Q4-2018,10/1/2018,12/31/2018,3,10/15/2018,10/21/2018
Q4-2018,10/1/2018,12/31/2018,4,10/22/2018,10/28/2018
Q4-2018,10/1/2018,12/31/2018,5,10/29/2018,11/4/2018
Q4-2018,10/1/2018,12/31/2018,6,11/5/2018,11/11/2018
Q4-2018,10/1/2018,12/31/2018,7,11/12/2018,11/18/2018
Q4-2018,10/1/2018,12/31/2018,8,11/19/2018,11/25/2018
Q4-2018,10/1/2018,12/31/2018,9,11/26/2018,12/2/2018
Q4-2018,10/1/2018,12/31/2018,10,12/3/2018,12/9/2018
Q4-2018,10/1/2018,12/31/2018,11,12/10/2018,12/16/2018
Q4-2018,10/1/2018,12/31/2018,12,12/17/2018,12/23/2018
Q4-2018,10/1/2018,12/31/2018,13,12/24/2018,12/31/2018
